age_group,male_cases,male_cases_percentage,male_deaths,male_deaths_percentage,male_fatality_rate,female_cases,female_cases_percentage,female_deaths,female_deaths_percentage,female_fatality_rate,cases,cases_percentage,deaths,deaths_percentage,fatality_rate
0-9,36,57.14285714285714,0,0.0,0.0,27,42.857142857142854,0,0.0,0.0,63,0.4538250972482351,0,0.0,0.0
10-19,60,51.28205128205128,0,0.0,0.0,57,48.717948717948715,0,0.0,0.0,118,0.8500216107189165,0,0.0,0.0
20-29,214,44.03292181069959,0,0.0,0.0,272,55.96707818930041,0,0.0,0.0,511,3.6810257887912403,0,0.0,0.0
30-39,423,54.51030927835051,1,100.0,0.2364066193853428,353,45.48969072164948,0,0.0,0.0,819,5.8997262642270565,1,0.12453300124533001,0.1221001221001221
40-49,735,50.6198347107438,0,0.0,0.0,717,49.3801652892562,1,100.0,0.1394700139470014,1523,10.97104163665178,1,0.12453300124533001,0.06565988181221273
50-59,1359,56.81438127090301,10,71.42857142857143,0.7358351729212657,1033,43.185618729096994,4,28.57142857142857,0.3872216844143272,2480,17.864860971041637,14,1.7434620174346203,0.564516129032258
60-69,1611,68.40764331210191,53,81.53846153846153,3.2898820608317814,744,31.59235668789809,12,18.461538461538463,1.6129032258064515,2421,17.439850165682177,65,8.094645080946451,2.6848409748038
70-79,1916,68.37972876516774,216,79.12087912087912,11.273486430062631,886,31.620271234832266,57,20.87912087912088,6.433408577878104,2849,20.5229793977813,274,34.12204234122042,9.617409617409617
80-89,1306,62.1904761904762,252,70.98591549295776,19.29555895865237,794,37.80952380952381,103,29.014084507042252,12.97229219143577,2138,15.40123901455122,355,44.20921544209215,16.604303086997195
>=90,155,40.25974025974026,40,53.333333333333336,25.806451612903224,230,59.74025974025974,35,46.666666666666664,15.217391304347828,395,2.845411324016712,75,9.339975093399751,18.9873417721519
unknown,272,58.2441113490364,10,66.66666666666666,3.6764705882352944,195,41.7558886509636,5,33.33333333333333,2.564102564102564,565,4.070018729289727,18,2.2415940224159403,3.185840707964602
